FSM: Transitioned to STATE_MONITORING 
ACC-STAT s=0xFDF6 pin=0 n=0 sk=1
VEL: departure w=-0.269 cov=5111 obs
VEL: departure w=-0.255 cov=4800 obs
VEL: departure w=-0.265 cov=4800 obs
VEL: departure w=-0.257 cov=4785 obs
VEL: departure w=-0.259 cov=4785 obs
VEL: departure w=-0.265 cov=4800 obs
VEL: departure w=-0.268 cov=4800 obs
VEL: departure w=-0.264 cov=4784 obs
VEL: departure w=-0.269 cov=4800 obs
VEL: departure w=-0.268 cov=4800 obs
VEL: departure w=-0.264 cov=4784 obs
VEL: departure w=-0.265 cov=4784 obs
VEL: departure w=-0.260 cov=4784 obs
VEL: departure w=-0.274 cov=4800 obs
VEL: departure w=-0.264 cov=4784 obs
VEL: departure w=-0.262 cov=4784 obs
VEL: departure w=-0.270 cov=4801 obs
VEL: departure w=-0.263 cov=4801 obs
VEL: departure w=-0.261 cov=4784 obs
VEL: departure w=-0.269 cov=4801 obs
VEL: departure w=-0.268 cov=5112 obs
VEL: departure w=-0.266 cov=5112 obs
VEL: departure w=-0.256 cov=5112 obs
VEL: departure w=-0.255 cov=5112 obs
VEL: departure w=-0.258 cov=5112 obs
VEL: departure w=-0.258 cov=5111 obs
VEL: departure w=-0.265 cov=5112 obs
VEL: departure w=-0.261 cov=5111 obs
VEL: departure w=-0.265 cov=5112 obs
VEL: departure w=-0.256 cov=5112 obs
VEL: departure w=-0.259 cov=5111 obs
VEL: departure w=-0.258 cov=5112 obs
VEL: departure w=-0.266 cov=5112 obs
VEL: departure w=-0.273 cov=5112 obs
VEL: departure w=-0.267 cov=4784 obs
VEL: departure w=-0.263 cov=4784 obs
VEL: departure w=-0.255 cov=4801 obs
VEL: departure w=-0.260 cov=5112 obs
VEL: departure w=-0.268 cov=5112 obs
VEL: departure w=-0.267 cov=5112 obs
VEL: departure w=-0.267 cov=5112 obs
VEL: departure w=-0.260 cov=4801 obs
VEL: departure w=-0.257 cov=4801 obs
VEL: departure w=-0.256 cov=4784 obs
VEL: departure w=-0.257 cov=4784 obs
VEL: departure w=-0.260 cov=4800 obs
VEL: departure w=-0.270 cov=5111 obs
VEL: departure w=-0.264 cov=5112 obs
ACC-STAT s=0xFDFB pin=0 n=0 sk=1
VEL: departure w=-0.268 cov=5111 obs
VEL: departure w=-0.265 cov=5112 obs
VEL: departure w=-0.260 cov=5112 obs
VEL: departure w=-0.273 cov=5112 obs
VEL: departure w=-0.262 cov=4800 obs
VEL: departure w=-0.266 cov=5112 obs
VEL: departure w=-0.267 cov=5112 obs
VEL: departure w=-0.259 cov=5112 obs
VEL: departure w=-0.272 cov=5112 obs
VEL: departure w=-0.266 cov=4801 obs
VEL: departure w=-0.290 cov=4801 obs
VEL: departure w=-0.257 cov=5112 obs
VEL: departure w=-0.263 cov=5112 obs
VEL: departure w=-0.258 cov=4800 obs
VEL: departure w=-0.273 cov=5111 obs
VEL: departure w=-0.258 cov=4800 obs
VEL: departure w=-0.260 cov=4800 obs
VEL: departure w=-0.264 cov=4800 obs
VEL: departure w=-0.255 cov=4785 obs
VEL: departure w=-0.255 cov=4785 obs
VEL: departure w=-0.266 cov=5112 obs
VEL: departure w=-0.255 cov=4800 obs
VEL: departure w=-0.269 cov=5112 obs
VEL: departure w=-0.264 cov=5111 obs
VEL: departure w=-0.260 cov=5111 obs
VEL: departure w=-0.260 cov=5112 obs
VEL: departure w=-0.256 cov=4800 obs
VEL: departure w=-0.256 cov=4800 obs
VEL: departure w=-0.269 cov=5112 obs
VEL: departure w=-0.265 cov=5112 obs
VEL: departure w=-0.256 cov=4801 obs
VEL: departure w=-0.258 cov=4784 obs
VEL: departure w=-0.263 cov=5112 obs
VEL: departure w=-0.267 cov=5112 obs
VEL: departure w=-0.261 cov=5112 obs
VEL: departure w=-0.258 cov=5112 obs
VEL: departure w=-0.260 cov=5112 obs
VEL: departure w=-0.258 cov=5111 obs
VEL: departure w=-0.267 cov=5112 obs
VEL: departure w=-0.260 cov=4800 obs
VEL: departure w=-0.273 cov=5111 obs
VEL: departure w=-0.257 cov=4800 obs
VEL: departure w=-0.260 cov=4800 obs
VEL: departure w=-0.257 cov=4800 obs
VEL: departure w=-0.268 cov=5112 obs
VEL: departure w=-0.255 cov=4785 obs
VEL: departure w=-0.257 cov=4800 obs
VEL: departure w=-0.263 cov=5112 obs
VEL: departure w=-0.260 cov=5111 obs
VEL: departure w=-0.275 cov=4800 obs
VEL: departure w=-0.269 cov=4800 obs
