log,run,label,basis
260810-130833.log,1,run,"falcon_signature_2026-08-11.md §1 table row ""22 s run | 0.18 | 0.713""; arrival peak 0.713"
260810-130833.log,2,run,"falcon_signature_2026-08-11.md §1 table row ""27 s run | 0.28 | 1.413""; arrival peak 1.413"
260811-134652.log,1,run,"falcon_350fpm_automatic_2026-08-11.md §1 run 1 up FSM peak 0.527; note names this log as runs 1-3"
260811-134652.log,2,run,"falcon_350fpm_automatic_2026-08-11.md §1 run 2 down FSM peak 0.454"
260811-134652.log,3,run,"falcon_350fpm_automatic_2026-08-11.md §2 plateau table ""run 3 dep (up, uncommanded car call)""; third of runs 1-3 in this log"
260811-140425.log,1,run,"falcon_350fpm_automatic_2026-08-11.md §1 run 4 down FSM peak 0.465; note names this log as runs 4-5"
260811-140425.log,2,run,"falcon_350fpm_automatic_2026-08-11.md §1 run 5 up FSM peak 0.508"
260811-144408.log,1,disturbance,"falcon_jog_verdict_2026-08-11.md §1 row 1 ""handling bump (bench)"" pos=221 neg=1254"
260811-144408.log,2,jog,"falcon_jog_verdict_2026-08-11.md §1 row 2 ""1 s jog"" pos=6689 neg=14263"
260811-144408.log,3,jog,"falcon_jog_verdict_2026-08-11.md §1 row 3 ""~1 s jog + release"" pos=9025 neg=5584"
260811-144408.log,4,jog,"falcon_jog_verdict_2026-08-11.md §1 row 4 ""brief jog up"" pos=8686 neg=7034"
260811-144408.log,5,run,"falcon_jog_verdict_2026-08-11.md §1 row 5 ""slow departure, down"" pos=0 neg=7100"
260811-144408.log,6,run,"falcon_jog_verdict_2026-08-11.md §1 row 6 ""slow departure, down"" pos=1145 neg=8867"
260811-144408.log,7,run,"falcon_jog_verdict_2026-08-11.md §1 row 7 ""slow departure, up"" pos=6189 neg=1276"
260811-144408.log,8,jog,"falcon_jog_verdict_2026-08-11.md §1 row 8 ""shortest blip jog"" pos=8914 neg=8529"
260811-144408.log,9,run,"falcon_jog_verdict_2026-08-11.md §1 row 9 ""100 fpm departure, down (gap probe, after retune)"" pos=1154 neg=9558"
260811-144408.log,10,jog,"falcon_jog_verdict_2026-08-11.md §6.1 row 10 ""2 s medium jog"" ratio 98 opk 3467"
260811-144408.log,11,run,"falcon_jog_verdict_2026-08-11.md §6.1 row 11 ""27 fpm departure, up"" ratio 39 opk 251"
260811-144408.log,12,run,"falcon_jog_verdict_2026-08-11.md §6.1 row 12 ""27 fpm departure, down"" ratio 0 opk 98"
260811-152209.log,1,run,"falcon_jog_verdict_2026-08-11.md §6.1 row 13 ""125 fpm departure, up"" ratio 0 opk 137"
260811-152209.log,2,run,"falcon_jog_verdict_2026-08-11.md §6.1 row 14 ""hard-stop run departure, down"" ratio 15 opk 260"
260811-152209.log,3,run,"falcon_jog_verdict_2026-08-11.md §6.1 row 15 ""125 fpm departure, down"" ratio 1 opk 214"
260811-152209.log,4,unknown,"FOURTH JOGV in this log (pos=11815 neg=0 ratio=0 opk=99, log line 97); §6.1 stops at row 15 and no note describes it. See session note §3."
260811-154018.log,1,jog,"falcon_jog_verdict_2026-08-11.md §7 table jog 1 ratio 88 opk 1366"
260811-154018.log,2,jog,"falcon_jog_verdict_2026-08-11.md §7 table jog 2 ratio 82 opk 3508"
260811-154018.log,3,jog,"falcon_jog_verdict_2026-08-11.md §7 table jog 3 ratio 65 opk 4154"
260811-154018.log,4,jog,"falcon_jog_verdict_2026-08-11.md §7 table jog 4 ratio 44 opk 1811"
260811-154018.log,5,jog,"falcon_jog_verdict_2026-08-11.md §7 table jog 5 ratio 97 opk 4154"
260812-095101.log,1,run,"falcon_cartop_2026-08-12.md §2 run 1 ""17 fpm down"" jog verdict RUN 0/99 arrival peak 2.164"
260812-095101.log,2,run,"falcon_cartop_2026-08-12.md §2 ""Two further alarm cycles in the first log were Dave repositioning the car""; §3 ""Real departures this session ran opk 68-283"" (this record opk=283)"
260812-095101.log,3,run,"falcon_cartop_2026-08-12.md §2 ""Two further alarm cycles in the first log were Dave repositioning the car"" (second of the two)"
260812-104647.log,1,run,"falcon_cartop_2026-08-12.md §2 run 2 ""56 fpm down"" RUN 0/68 arrival peak 2.571"
260812-104647.log,2,run,"falcon_cartop_2026-08-12.md §2 run 3 ""58 fpm up"" RUN 0/121 arrival peak 0.965"
260812-104647.log,3,jog,"falcon_cartop_2026-08-12.md §3 jog 1 ratio 69 opk 2225"
260812-104647.log,4,jog,"falcon_cartop_2026-08-12.md §3 jog 2 ratio 52 opk 1592"
260812-104647.log,5,jog,"falcon_cartop_2026-08-12.md §3 jog 3 ratio 79 opk 1773"
260812-104647.log,6,jog,"falcon_cartop_2026-08-12.md §3 jog 4 (reverse) ratio 99 opk 2116"
260812-104647.log,7,run,"falcon_cartop_2026-08-12.md §2 run 4 ""56 fpm up"" arrival peak 0.758"
260812-104647.log,8,run,"falcon_cartop_2026-08-12.md §2 run 5 ""57 fpm up"" arrival peak 1.245"
260812-104647.log,9,unknown,"no note row; §2 accounts for 5 runs + 2 repositioning moves and all seven are matched to other records in this pair of logs"
260812-112254.log,1,run,"falcon_cab_automatic_2026-08-12.md §1 table row ""300 down"" arrival peak 0.477"
260812-112254.log,2,run,"falcon_cab_automatic_2026-08-12.md §1 table row ""300 up"" arrival peak 0.457"
260812-112254.log,3,run,"falcon_cab_automatic_2026-08-12.md §1 table row ""300 down"" arrival peak 0.544"
260812-112254.log,4,run,"falcon_cab_automatic_2026-08-12.md §1 table row ""1 floor (terminal->intermediate, up)"" arrival peak 0.465"
260812-112254.log,5,run,"falcon_cab_automatic_2026-08-12.md §4.2/§4.3 the single-floor intermediate->bottom-terminal run that alarmed 85 s over a car stationary for 78 of them; released by the 0.458 disturbance at t=144.6 s"
260812-112254.log,6,unknown,"boot 3, before the ARM instrument landed; no note section names these four records"
260812-112254.log,7,unknown,"boot 3, before the ARM instrument landed; no note section names these four records"
260812-112254.log,8,unknown,"boot 3, before the ARM instrument landed; no note section names these four records"
260812-112254.log,9,unknown,"boot 3, before the ARM instrument landed; no note section names these four records"
260812-112254.log,10,run,"falcon_cab_automatic_2026-08-12.md §8 descent table row ""4->3"" arrival peak 0.477"
260812-112254.log,11,run,"falcon_cab_automatic_2026-08-12.md §8 descent table row ""3->2"" arrival peak 0.464"
260812-112254.log,12,run,"falcon_cab_automatic_2026-08-12.md §8 descent table row ""2->1 terminal"" arrival peak 0.498"
260812-112254.log,13,run,"falcon_cab_automatic_2026-08-12.md §8 heading ""The descent: 4 runs, all clean"" and §7 addendum ""Four automatic single-floor runs""; fourth q=5 record in this boot, the table lists only three. WEAKEST label in this file."
260812-112254.log,14,run,"falcon_cab_automatic_2026-08-12.md §12 table row ""4->3"" q=36 arrival peak 0.476"
260812-112254.log,15,run,"falcon_cab_automatic_2026-08-12.md §12 table row ""3->2"" q=18 arrival peak 0.544"
260812-112254.log,16,run,"falcon_cab_automatic_2026-08-12.md §12 table row ""2->1"" q=9 arrival peak 0.488"
260812-112254.log,17,run,"falcon_cab_automatic_2026-08-12.md §12 table row ""1->2"" q=8 arrival peak 0.504"
260812-112254.log,18,run,"falcon_cab_automatic_2026-08-12.md §12 table row ""2->3"" q=16 arrival peak 0.460"
260812-112254.log,19,run,"falcon_cab_automatic_2026-08-12.md §12 table row ""3->4"" q=38 arrival peak 0.456"
260812-112254.log,20,run,"falcon_cab_automatic_2026-08-12.md §15 table row ""4->2, two floors (has cruise)"" q=119"
260812-112254.log,21,run,"falcon_cab_automatic_2026-08-12.md §15/§16 bottom-terminal single-floor set q={8,8,8,9,9}; this record q=8"
260812-112254.log,22,run,"falcon_cab_automatic_2026-08-12.md §15/§16 bottom-terminal single-floor set q={8,8,8,9,9}; this record q=8"
260812-112254.log,23,run,"falcon_cab_automatic_2026-08-12.md §15/§16 bottom-terminal single-floor set q={8,8,8,9,9}; this record q=9"
260812-112254.log,24,unknown,"q=186; no note table carries this value"
260812-112254.log,25,unknown,"q=125; no note table carries this value"
260812-112254.log,26,unknown,"q=13 and no arrival peak; no note table carries it"
260812-112254.log,27,run,"falcon_cab_automatic_2026-08-12.md §16 remount table ""tested mounting"" 2->1 down q=6"
260812-112254.log,28,run,"falcon_cab_automatic_2026-08-12.md §16 remount table ""tested mounting"" 1->2 up q=10"
260812-112254.log,29,run,"falcon_cab_automatic_2026-08-12.md §16 remount table ""tested mounting"" 2->1 down q=5"
260812-112254.log,30,run,"falcon_cab_automatic_2026-08-12.md §16 remount table ""tested mounting"" 1->2 up q=11"
260812-112254.log,31,run,"falcon_cab_automatic_2026-08-12.md §16 remount table ""tested mounting"" 2->1 down q=5"
260812-112254.log,32,unknown,"q=188; no note table carries this value"
260812-112254.log,33,run,"falcon_cab_automatic_2026-08-12.md §22 table row ""4->2 control"" q=123 arrival peak 0.525"
260812-112254.log,34,run,"falcon_cab_automatic_2026-08-12.md §22 table row ""2->1"" q=6 arrival peak 0.497"
260812-112254.log,35,unknown,"q=193; no note table carries this value"
260812-140913.log,1,run,"falcon_ramp_armed_2026-08-12.md §3 table run 1 ""4->1 down"" JOGV opk 16 arrival peak 0.470"
260812-140913.log,2,run,"falcon_ramp_armed_2026-08-12.md §3 table run 2 ""1->2 up"" JOGV opk 36 arrival peak 0.617"
260812-140913.log,3,run,"falcon_ramp_armed_2026-08-12.md §3 table run 3 ""1->2 up"" JOGV opk 21 arrival peak 0.457"
260812-140913.log,4,run,"falcon_ramp_armed_2026-08-12.md §3 table run 4 ""2->1 down"" JOGV opk 124 arrival peak 0.713"
260812-140913.log,5,unknown,"no note section names this record"
260812-140913.log,6,unknown,"no note section names this record (JOGV JOG ratio 60 opk 1974, but no note describes a jog in this log)"
