log,boot,run,dep_path,has_burst,edges,t_first_ms,t_last_ms,span_ms,jogv_verdict,jogv_opk,jogv_ratio,jogv_pos,jogv_neg,end_path,arr_peak,buzzer_edges,label,basis
260806-151739.log,1,1,pre-latch-build,n,0,,,,,,,,,decel-no-cause-logged,,0,,
260807-091217.log,1,1,pre-latch-build,n,2,24494,25362,868,,,,,,decel-no-cause-logged,,1,,
260807-091217.log,1,2,pre-latch-build,n,2,51511,59949,8438,,,,,,decel-no-cause-logged,,0,,
260807-092651.log,1,1,pre-latch-build,n,1,61620,61620,0,,,,,,log-ended-mid-run,,0,,
260807-101856.log,1,1,pre-latch-build,n,0,,,,,,,,,decel-no-cause-logged,,0,,
260807-101856.log,1,2,pre-latch-build,n,1,121274,121274,0,,,,,,decel-no-cause-logged,,0,,
260807-102954.log,1,1,pre-latch-build,n,0,,,,,,,,,decel-no-cause-logged,,0,,
260807-122022.log,1,1,any-motion,n,3,1991540,2042249,50709,,,,,,arrival-any-motion,,0,,
260807-122022.log,1,2,any-motion,n,6,2053455,2074902,21447,,,,,,arrival-any-motion,,3,,
260807-122022.log,1,3,any-motion,n,3,2087960,2089074,1114,,,,,,arrival-any-motion,,1,,
260807-122022.log,1,4,any-motion,n,3,2103263,2105278,2015,,,,,,arrival-polled,,1,,
260807-122022.log,1,5,any-motion,n,2,2236596,2237743,1147,,,,,,arrival-any-motion,,0,,
260807-122022.log,1,6,any-motion,n,2,2360836,2362015,1179,,,,,,arrival-any-motion,,0,,
260807-122022.log,1,7,any-motion,n,2,2398126,2398928,802,,,,,,arrival-any-motion,,0,,
260807-122022.log,1,8,any-motion,n,8,2406760,2485682,78922,,,,,,arrival-any-motion,,4,,
260807-123553.log,1,1,any-motion,n,8,87916,154435,66519,,,,,,arrival-polled,,6,,
260807-123553.log,1,2,any-motion,n,4,255082,314966,59884,,,,,,arrival-polled,,1,,
260807-123553.log,2,3,any-motion,n,5,99024,103071,4047,,,,,,arrival-any-motion,,2,,
260807-123553.log,2,4,any-motion,n,2,128352,129368,1016,,,,,,arrival-any-motion,,0,,
260807-123553.log,2,5,any-motion,n,1,110526,110526,0,,,,,,log-ended-mid-run,,0,,
260807-123553.log,3,6,any-motion,n,2,145473,145571,98,,,,,,arrival-any-motion,,0,,
260807-123553.log,3,7,any-motion,n,7,218611,270024,51413,,,,,,arrival-any-motion,,3,,
260807-123553.log,3,8,any-motion,n,4,500809,528138,27329,,,,,,arrival-polled,,2,,
260807-123553.log,3,9,any-motion,n,7,780222,794034,13812,,,,,,arrival-polled,,5,,
260807-123553.log,3,10,any-motion,n,7,961511,967081,5570,,,,,,arrival-any-motion,,4,,
260807-123553.log,3,11,any-motion,n,3,1011695,1013628,1933,,,,,,arrival-polled,,2,,
260807-123553.log,4,12,any-motion,n,3,123502,130973,7471,,,,,,arrival-polled,,0,,
260807-123553.log,4,13,any-motion,n,5,238829,273039,34210,,,,,,arrival-polled,,3,,
260807-123553.log,4,14,any-motion,n,5,421855,454574,32719,,,,,,arrival-any-motion,,2,,
260807-123553.log,4,15,any-motion,n,5,556531,583630,27099,,,,,,arrival-polled,,4,,
260807-123553.log,4,16,any-motion,n,1,1864499,1864499,0,,,,,,arrival-polled,,0,,
260807-123553.log,4,17,any-motion,n,4,1881653,1902936,21283,,,,,,arrival-polled,,2,,
260807-123553.log,4,18,any-motion,n,2,1935032,1935572,540,,,,,,arrival-polled,,1,,
260807-123553.log,4,19,any-motion,n,1,1963819,1963819,0,,,,,,arrival-polled,,0,,
260807-123553.log,4,20,any-motion,n,2,1984872,2002599,17727,,,,,,arrival-polled,,1,,
260807-123553.log,4,21,any-motion,n,2,2020261,2021277,1016,,,,,,arrival-polled,,1,,
260807-123553.log,4,22,any-motion,n,3,2046296,2047590,1294,,,,,,arrival-polled,,3,,
260807-123553.log,4,23,any-motion,n,3,2322006,2347073,25067,,,,,,arrival-any-motion,,1,,
260807-123553.log,4,24,any-motion,n,3,2416918,2532540,115622,,,,,,log-ended-mid-run,,1,,
260810-095551.log,1,1,any-motion,n,4,41730,178733,137003,,,,,,log-ended-mid-run,,1,,
260810-095551.log,1,2,any-motion,n,3,179765,77938,,,,,,,log-ended-mid-run,,0,,
260810-095551.log,2,3,any-motion,n,1,78544,78544,0,,,,,,log-ended-mid-run,,0,,
260810-112554.log,1,1,any-motion,n,3,88768,284966,196198,,,,,,arrival-polled,,1,,
260810-112554.log,1,2,any-motion,n,4,485457,528220,42763,,,,,,arrival-polled,,2,,
260810-121155.log,1,1,any-motion,n,3,2899804,3112910,213106,,,,,,arrival-polled,,1,,
260810-121155.log,1,2,any-motion,n,13,3243278,3364847,121569,,,,,,arrival-polled,,7,,
260810-121155.log,1,3,any-motion,n,12,3691986,3742105,50119,,,,,,arrival-any-motion,,6,,
260810-123559.log,1,1,any-motion,n,11,276283,409092,132809,,,,,,arrival-any-motion,,7,,
260810-124643.log,1,1,any-motion,n,1,149651,149651,0,,,,,,arrival-polled,1.796,1,,
260810-124643.log,1,2,any-motion,n,2,369131,385925,16794,,,,,,arrival-polled,1.583,1,,
260810-125922.log,1,1,any-motion,n,2,84099,112984,28885,,,,,,arrival-polled,1.630,0,,
260810-125922.log,1,2,any-motion,n,8,350781,467943,117162,,,,,,arrival-any-motion,1.848,3,,
260810-130833.log,1,1,any-motion,n,5,67665,89112,21447,,,,,,arrival-polled,0.713,3,run,"falcon_signature_2026-08-11.md §1 table row ""22 s run | 0.18 | 0.713""; arrival peak 0.713"
260810-130833.log,1,2,any-motion,n,2,143982,170131,26149,,,,,,arrival-polled,1.413,1,run,"falcon_signature_2026-08-11.md §1 table row ""27 s run | 0.28 | 1.413""; arrival peak 1.413"
260811-104022.log,1,1,any-motion,n,4,93306,189562,96256,,,,,,arrival-polled,1.731,2,,
260811-105851.log,1,1,any-motion,n,4,81608,105906,24298,,,,,,arrival-polled,0.529,2,,
